hour,day,month,weekday,electricity_lag1,electricity_lag24,electricity_rolling24,is_holiday,is_semester,is_exam,campus_id_x,campus_id_y,apparent_temperature,air_temperature,dew_point_temperature,relative_humidity,wind_speed,wind_direction,water_lag1h,water_lag24h,water_lag168h,water_rolling7d,electricity_true,water_true,garbage_true,electricity_pred,water_pred,garbage_pred,is_anomaly,electricity_cost_actual,water_cost_actual,garbage_cost_actual,total_cost_actual,electricity_cost_pred,water_cost_pred,garbage_cost_pred,total_cost_pred,cost_difference
10,10,1,6,9.456651377777778,11.468262956100885,8.802236424095238,0.0,0,0,1.0,1.0,26.961666666666666,28.046333333333333,11.342333333333332,38.78,11.844,113.05333333333333,118.13365342406665,221.3642742154354,221.3642742154354,118.09605951357274,11.596921981981982,118.14712040863333,36.19218106305874,11.26028,116.4755,36.827824,1,92.77537585585586,5316.6204183885,2714.4135797294057,8123.8093739737615,90.08224,5241.3975,2762.0867,8093.5664,30.242967723761467
11,10,1,6,11.596921981981982,11.468262956100885,9.12833048355519,0.0,0,0,1.0,1.0,28.227666666666664,30.075,9.886666666666667,31.723333333333333,14.497000000000002,159.87666666666667,118.14712040863333,221.53235382982132,221.53235382982132,118.10088827874722,12.715365137614679,118.15400469566666,40.86305935786601,12.680468,116.414795,41.767082,1,101.72292110091743,5316.930211305,3064.7294518399503,8483.382584245868,101.44374,5238.666,3132.5312,8472.641,10.741959245868202
12,10,1,6,12.715365137614679,11.468262956100885,9.460110612271157,0.0,0,0,1.0,1.0,29.72933333333333,31.653666666666666,9.102,27.05,14.412999999999998,173.44333333333333,118.15400469566666,221.8320472652607,221.8320472652607,118.1053100544077,13.441472156862746,118.15837136233334,44.66354681047677,13.314211,116.71724,42.49507,1,107.53177725490197,5317.126711305001,3349.7660107857573,8774.42449934566,106.51369,5252.276,3187.1304,8545.92,228.50457747065957
13,10,1,6,13.441472156862746,11.468262956100885,9.672360011394645,0.0,0,0,1.0,1.0,30.602999999999998,33.17933333333333,7.441666666666666,21.953333333333333,15.805333333333335,146.60333333333332,118.15837136233334,221.957232842613,221.957232842613,118.10959181449762,12.4316022,118.16525469566666,33.52477224488701,12.688603,116.71724,35.76444,1,99.4528176,5317.436461305,2514.3579183665256,7931.247197271527,101.50883,5252.276,2682.333,8036.1177,-104.8704785097234
14,10,1,6,12.4316022,11.468262956100885,9.855535360228497,0.0,0,0,1.0,1.0,31.028333333333332,34.26766666666666,5.801,18.2,16.892666666666667,188.55666666666667,118.16525469566666,222.523069642587,222.523069642587,118.11412822879778,12.419990243902438,118.17763802900001,30.15530956501764,12.526591,116.71724,31.125956,1,99.3599219512195,5317.993711305,2261.648217376323,7679.001850632543,100.21273,5252.276,2334.4468,7686.9355,-7.93369624245679
15,10,1,6,12.419990243902438,11.468262956100885,10.062139572833265,0.0,0,0,1.0,1.0,31.51,34.939,5.175333333333333,16.64666666666667,16.634333333333334,160.08333333333334,118.17763802900001,222.39564595033852,222.39564595033852,118.12197259131041,13.161202761904763,118.23963802899999,36.21664913721069,12.700342,116.71724,33.656353,1,105.2896220952381,5320.783711305,2716.2486852908014,8142.322018691039,101.60274,5252.276,2524.2266,7878.105,264.2170382222894
16,10,1,6,13.161202761904763,11.468262956100885,10.17699827840587,0.0,0,0,1.0,1.0,32.117333333333335,35.352666666666664,4.867,15.923333333333334,15.065666666666665,180.26666666666668,118.23963802899999,222.5206089450709,222.5206089450709,118.13008918568431,12.014737567567568,118.25995469566666,33.59510949877818,12.088163,116.71724,35.304543,1,96.11790054054055,5321.697961305,2519.6332124083633,7937.449074253904,96.70531,5252.276,2647.8406,7996.8213,-59.372214808596254
17,10,1,6,12.014737567567568,11.468262956100885,10.198393946224728,0.0,0,0,1.0,1.0,32.034,35.23566666666667,4.727333333333333,15.706666666666667,15.34,151.25333333333333,118.25995469566666,221.60885935406048,221.60885935406048,118.13749930660927,10.562120299145299,118.26347136233333,39.76030952845785,10.652624,116.71724,37.588905,1,84.49696239316239,5321.856211305,2982.023214634339,8388.376388332501,85.22099,5252.276,2819.168,8156.665,231.71134927000094
18,10,1,6,10.562120299145299,11.468262956100885,10.160433440283077,0.0,0,0,1.0,1.0,31.733666666666668,34.88066666666667,4.306333333333334,15.523333333333333,14.776,155.88333333333333,118.26347136233333,221.87754590205128,221.87754590205128,118.14671888848947,9.477144333333333,118.31267136233333,33.30379659495236,9.551239,116.71724,34.861122,1,75.81715466666667,5324.070211305,2497.784744621427,7897.672110593094,76.40991,5252.276,2614.5842,7943.2695,-45.59742065690625
19,10,1,6,9.477144333333333,11.468262956100885,10.124705576602256,0.0,0,0,1.0,1.0,30.890666666666668,34.102333333333334,4.436333333333334,16.35333333333333,14.469,168.0,118.31267136233333,221.40515940729603,221.40515940729603,118.15584567884832,9.445876166666666,118.32925469566666,25.0,9.482607,116.71724,26.723337,1,75.56700933333333,5324.816461304999,1875.0,7275.383470638333,75.860855,5252.276,2004.2502,7332.3867,-57.003248111666835
20,10,1,6,9.445876166666666,11.468262956100885,10.097877127170154,0.0,0,0,1.0,1.0,28.559,31.180333333333333,6.6386666666666665,22.756666666666668,13.164666666666667,167.52,118.32925469566666,222.0713399757795,222.0713399757795,118.16440642568094,9.561308138528137,118.33562136233333,32.57768408823544,9.548931,116.71724,31.060863,1,76.4904651082251,5325.102961305,2443.3263066176582,7844.919733030883,76.39145,5252.276,2329.5647,7658.2324,186.68731115588344
21,10,1,6,9.561308138528137,11.468262956100885,10.096521493457141,0.0,0,0,1.0,1.0,26.259666666666664,27.645999999999997,8.138333333333334,30.253333333333334,9.440666666666665,165.32,118.33562136233333,222.103286479276,222.103286479276,118.17231089249849,10.06805318548387,118.33830469566666,25.0,9.986039,116.78872,24.792055,1,80.54442548387097,5325.223711305,1875.0,7280.768136788871,79.88831,5255.492,1859.4042,7194.7847,85.98346882012083
22,10,1,6,10.06805318548387,11.468262956100885,10.09419605808944,0.0,0,0,1.0,1.0,25.225666666666665,26.15233333333333,9.264333333333333,36.10333333333333,11.018666666666666,149.64666666666668,118.33830469566666,222.118959231172,222.118959231172,118.1804113477087,10.043036480000001,118.35862136233332,25.0,10.055794,116.78872,24.776432,1,80.34429184000001,5326.137961304999,1875.0,7281.482253144999,80.44635,5255.492,1858.2324,7194.171,87.31135470749905
23,10,1,6,10.043036480000001,11.468262956100885,10.07952981776582,0.0,0,0,1.0,1.0,24.044333333333334,24.683,10.197,42.24666666666667,9.344333333333333,107.55666666666667,118.35862136233332,222.24674222115317,222.24674222115317,118.18818745942917,9.742206290322581,118.367038029,25.0,9.759371,116.78872,24.935038,1,77.93765032258065,5326.516711305,1875.0,7279.4543616275805,78.07497,5255.492,1870.1278,7203.6953,75.75904912758051
0,11,1,0,9.742206290322581,8.502498658536584,10.095169492275721,0.0,0,0,1.0,1.0,23.262666666666668,23.825,10.994333333333334,46.65,8.350333333333333,136.65333333333334,118.367038029,118.04095342406666,221.60991542038366,120.04666529438533,8.877850846774194,164.65013333333334,51.846937570317635,9.0082035,160.65367,51.859173,1,71.02280677419355,7409.256,3888.5203177738226,11368.799124548017,72.06563,7229.415,3889.438,11190.918,177.88115579801706
1,11,1,0,8.877850846774194,8.624471504065042,10.106885130211184,0.0,0,0,1.0,1.0,22.552333333333333,22.755333333333336,11.463333333333333,51.36,8.136000000000001,137.63333333333333,164.65013333333334,118.0630867574,221.8281853072656,121.76509803947307,8.905646814516128,164.72591666666668,55.14699840842836,8.905542,163.26953,54.10861,0,71.24517451612903,7412.66625,4136.024880632127,11619.936305148256,71.24434,7347.129,4058.1455,11476.519,143.417750460756
2,11,1,0,8.905646814516128,8.470251411290324,10.115618510982452,0.0,0,0,1.0,1.0,21.34133333333333,21.779666666666664,11.875666666666666,55.96333333333333,7.496666666666667,90.46,164.72591666666668,118.07035342406667,222.95715940206995,123.35639008739382,8.679852549800795,164.7299833333333,48.74662969555781,8.844437,163.26953,49.727062,1,69.43882039840636,7412.849249999999,3655.9972271668357,11138.285297565242,70.75549,7347.129,3729.5298,11147.414,-9.128764934757783
3,11,1,0,8.679852549800795,8.460312741935484,10.118548324780656,0.0,0,0,1.0,1.0,20.559333333333335,20.975,11.465666666666666,56.973333333333336,8.227,81.18666666666667,164.7299833333333,118.0862867574,221.81150862224482,124.8349993699869,8.53062827309237,164.75745,56.324101442330765,8.628273,163.26953,55.126427,0,68.24502618473896,7414.08525,4224.307608174808,11706.637884359547,69.026184,7347.129,4134.482,11550.637,156.00116560954666
4,11,1,0,8.53062827309237,8.42350406374502,10.13831642571027,0.0,0,0,1.0,1.0,19.77766666666667,20.403666666666666,11.274,58.44,7.412333333333333,117.12666666666667,164.75745,118.0870367574,221.92715258203046,126.21235283998735,8.897938486055777,164.77824999999999,51.59454813725857,8.835663,163.26953,51.564453,0,71.18350788844621,7415.02125,3869.591110294393,11355.795868182839,70.6853,7347.129,3867.334,11285.148,70.6474306828386
5,11,1,0,8.897938486055777,8.319168928571429,10.163692801371647,0.0,0,0,1.0,1.0,18.879333333333335,19.858999999999998,10.887333333333332,59.22666666666667,9.484333333333334,132.26333333333332,164.77824999999999,118.08728675740001,221.80783121697297,127.49851385643223,8.928201944444446,164.79718333333332,53.15459673853361,8.993962,163.26953,53.444675,0,71.42561555555557,7415.87325,3986.594755390021,11473.893620945577,71.9517,7347.129,4008.3506,11427.432,46.46198032057691
6,11,1,0,8.928201944444446,8.313807426160338,10.212543797044718,0.0,0,0,1.0,1.0,18.796333333333333,19.878,10.936333333333334,59.35666666666667,9.1,93.06,164.79718333333332,118.10367009073333,221.9108565311527,128.70185211912795,9.486231322314051,164.80200000000002,51.83131462439022,9.469108,163.26953,53.03776,0,75.88985057851241,7416.090000000001,3887.348596829266,11379.328447407781,75.75286,7347.129,3977.832,11400.714,-21.385419779719086
7,11,1,0,9.486231322314051,8.077563376068376,10.329864000125202,0.0,0,0,1.0,1.0,21.197333333333333,22.663666666666668,11.299666666666667,50.79666666666667,12.820333333333332,90.01333333333334,164.80200000000002,118.11572009073333,221.91155458533214,129.8305114279052,10.89324825,164.81895,64.67382636379469,10.6280985,163.26953,61.894653,0,87.145986,7416.85275,4850.536977284602,12354.5357132846,85.02479,7347.129,4642.099,12074.253,280.2827835971002
8,11,1,0,10.89324825,8.579449194915254,10.459744196485525,0.0,0,0,1.0,1.0,24.521,26.462333333333333,10.805666666666665,38.626666666666665,14.437999999999999,82.13,164.81895,118.12148675739999,221.89039620796723,130.89097471796867,11.696573907563026,164.82580000000002,167.14918997399946,11.758275,162.41556,167.87704,0,93.57259126050421,7417.161000000001,12536.18924804996,20046.922839310464,94.0662,7308.7,12590.778,19993.545,53.37791743546404
9,11,1,0,11.696573907563026,9.456651377777778,10.623349691574449,0.0,0,0,1.0,1.0,26.913333333333334,29.98566666666667,8.676333333333334,26.913333333333334,15.883,122.76333333333334,164.82580000000002,118.13365342406665,221.94202697660927,131.89198281449902,13.383183259911894,164.92524999999998,164.02568451601343,13.265532,161.71564,165.92459,0,107.06546607929515,7421.636249999999,12301.926338701007,19830.6280547803,106.12425,7277.2036,12444.345,19827.672,2.9561797802998626
10,11,1,0,13.383183259911894,11.596921981981982,10.730134256287187,0.0,0,0,1.0,1.0,28.113,31.860333333333333,8.112,23.39666666666667,17.831333333333333,187.98,164.92524999999998,118.14712040863333,221.3642742154354,132.83966521027523,14.15975153508772,165.06086666666667,174.43640387564756,14.27233,162.01807,173.96022,1,113.27801228070176,7427.7390000000005,13082.730290673568,20623.74730295427,114.17864,7290.813,13047.017,20452.008,171.7394904542707
11,11,1,0,14.15975153508772,12.715365137614679,10.842524399103967,0.0,0,0,1.0,1.0,29.488,33.361333333333334,7.738333333333333,20.936666666666667,17.552999999999997,215.10666666666665,165.06086666666667,118.15400469566666,221.53235382982132,133.73643330628613,15.41272856521739,165.12331666666665,184.86955631318838,15.225135,162.18517,186.57262,1,123.30182852173913,7430.549249999999,13865.21672348913,21419.067802010868,121.80108,7298.3325,13992.946,21413.08,5.987723885868036
12,11,1,0,15.41272856521739,13.441472156862746,10.919885072800577,0.0,0,0,1.0,1.0,30.097,34.559000000000005,7.271999999999999,18.906666666666666,19.91633333333333,197.30333333333334,165.12331666666665,118.15837136233334,221.8320472652607,134.59029682053063,15.298128325581395,165.32938333333334,191.97465821455867,15.295506,163.54402,188.69615,1,122.38502660465116,7439.82225,14398.099366091901,21960.306642696552,122.364044,7359.481,14152.211,21634.057,326.25000207155244
13,11,1,0,15.298128325581395,12.4316022,11.021741376223197,0.0,0,0,1.0,1.0,30.124333333333333,35.118,6.529333333333333,17.486666666666668,20.988,243.43666666666667,165.32938333333334,118.16525469566666,221.957232842613,135.40094909718334,14.876153482142858,165.39508333333333,180.59780158149397,14.91981,163.54402,181.8295,1,119.00922785714286,7442.7787499999995,13544.835118612047,21106.62309646919,119.35848,7359.481,13637.212,21116.05,-9.427684780810523
14,11,1,0,14.876153482142858,12.419990243902438,11.109736956640305,0.0,0,0,1.0,1.0,30.377000000000002,35.268,5.860666666666667,16.553333333333335,19.468999999999998,247.44666666666666,165.39508333333333,118.17763802900001,222.523069642587,136.17080424853762,14.531884173913044,165.4253,164.31200482681223,14.601975,163.08969,166.34436,1,116.25507339130435,7444.1385,12323.400362010918,19883.793935402224,116.8158,7339.036,12475.827,19931.68,-47.885752097776276
15,11,1,0,14.531884173913044,13.161202761904763,11.132316473177534,0.0,0,0,1.0,1.0,30.712999999999997,35.716,5.343666666666667,15.443333333333333,21.37366666666667,227.91666666666666,165.4253,118.23963802899999,222.39564595033852,136.90239164232418,13.703111158798283,165.4343,170.93465603728552,13.777384,163.54402,171.09407,1,109.62488927038626,7444.543500000001,12820.099202796415,20374.2675920668,110.21907,7359.481,12832.056,20301.756,72.51173269180072
16,11,1,0,13.703111158798283,12.014737567567568,11.178044630084441,0.0,0,0,1.0,1.0,30.592000000000002,35.800333333333334,4.6690000000000005,14.65,21.435333333333336,278.6666666666667,165.4343,118.25995469566666,222.5206089450709,137.60129631771463,13.112213333333333,165.55748333333335,172.9846089999771,13.114925,163.08969,171.21126,1,104.89770666666666,7450.08675,12973.845674998282,20528.83013166495,104.9194,7339.036,12840.845,20284.8,244.02935041494857
17,11,1,0,13.112213333333333,10.562120299145299,11.267012858754805,0.0,0,0,1.0,1.0,30.757666666666665,35.577666666666666,4.6273333333333335,14.733333333333333,19.333,288.4266666666667,165.55748333333335,118.26347136233333,221.60885935406048,138.26795831015002,12.697357787234044,165.6011,169.66626571743925,12.498242,163.08969,169.69467,1,101.57886229787235,7452.0495,12724.969928807943,20278.598291105816,99.98594,7339.036,12727.101,20166.123,112.47524423081632
18,11,1,0,12.697357787234044,9.477144333333333,11.351170993951712,0.0,0,0,1.0,1.0,30.577666666666666,35.215333333333334,4.355666666666667,14.813333333333333,18.051666666666666,299.64666666666665,165.6011,118.31267136233333,221.87754590205128,138.9038054037124,11.496939578059072,165.60938333333334,166.7767004754006,11.496731,163.08969,166.64491,1,91.97551662447258,7452.4222500000005,12508.252535655045,20052.65030227952,91.97385,7339.036,12498.368,19929.379,123.27139602951866
19,11,1,0,11.496939578059072,9.445876166666666,11.384875922793702,0.0,0,0,1.0,1.0,30.099000000000004,34.452333333333335,4.659,15.746666666666666,17.207666666666668,283.68666666666667,165.60938333333334,118.32925469566666,221.40515940729603,139.51094846271894,10.254794458874459,165.61810000000003,109.06112943374188,10.374323,163.08969,108.656334,1,82.03835567099567,7452.814500000001,8179.584707530641,15714.437563201638,82.99458,7339.036,8149.225,15571.256,143.1817038266381
20,11,1,0,10.254794458874459,9.561308138528137,11.368939834060386,0.0,0,0,1.0,1.0,29.530333333333335,32.74166666666667,5.554,18.42,12.774333333333335,261.27,165.61810000000003,118.33562136233333,222.0713399757795,140.09119849688074,9.178842008928571,165.6222,102.30384487539501,9.2576275,163.08969,101.80106,1,73.43073607142857,7452.999,7672.788365654626,15199.218101726055,74.06102,7339.036,7635.0796,15048.177,151.04134391355547
21,11,1,0,9.178842008928571,10.06805318548387,11.342586870090612,0.0,0,0,1.0,1.0,28.17,30.865,6.795,22.22,11.431666666666667,162.25,165.6222,118.33830469566666,222.103286479276,140.64623910926738,9.435582050209206,165.62306666666666,51.35312648836118,9.394122,163.08969,52.531895,0,75.48465640167365,7453.038,3851.4844866270882,11380.00714302876,75.15298,7339.036,3939.892,11354.081,25.926088341260765
22,11,1,0,9.435582050209206,10.043036480000001,11.343920072312832,0.0,0,0,1.0,1.0,27.147000000000002,29.922333333333334,7.086333333333334,23.963333333333335,11.725,133.01,165.62306666666666,118.35862136233332,222.118959231172,141.17990210694256,10.075033333333334,165.7284,52.92519544520107,9.976724,162.78726,53.89341,0,80.60026666666667,7457.777999999999,3969.38965839008,11507.767925056745,79.81379,7325.427,4042.0056,11447.246,60.5218313067453
23,11,1,0,10.075033333333334,9.742206290322581,11.340363551747222,0.0,0,0,1.0,1.0,25.286,27.27,8.631666666666666,32.20666666666666,9.112,159.58333333333334,165.7284,118.367038029,222.24674222115317,141.69138991027015,9.656849796747968,165.7313166666667,60.3451085987775,9.738303,163.48718,59.306484,0,77.25479837398375,7457.909250000001,4525.883144908313,12061.047193282298,77.906425,7356.9233,4447.9863,11882.816,178.2307870322984
0,12,1,1,9.656849796747968,8.877850846774194,11.34600453251688,0.0,0,0,1.0,1.0,23.976,26.159666666666666,9.372666666666667,37.016666666666666,11.677666666666667,206.96,165.7313166666667,164.65013333333334,221.60991542038366,142.8604506604007,9.013234385245902,198.97536666666667,61.90246077386689,9.081771,189.64551,61.420868,0,72.10587508196721,8953.8915,4642.684558040017,13668.681933121983,72.65417,8534.048,4606.565,13213.268,455.4143549969831
1,12,1,1,9.013234385245902,8.905646814516128,11.34996155666999,0.0,0,0,1.0,1.0,23.107333333333333,24.836000000000002,9.975,41.10333333333333,10.131666666666666,177.53,198.97536666666667,164.72591666666668,221.8281853072656,143.98367564719265,9.000615394190872,199.02169999999998,51.37156385783363,8.978471,194.09508,53.554573,0,72.00492315352697,8955.976499999999,3852.867289337522,12880.848712491048,71.82777,8734.278,4016.593,12822.699,58.14949374104799
2,12,1,1,9.000615394190872,8.679852549800795,11.363656643136627,0.0,0,0,1.0,1.0,21.542666666666666,23.939333333333334,10.607,45.0,15.498,215.40666666666667,199.02169999999998,164.7299833333333,222.95715940206995,145.06366632077712,9.008534625000001,199.0632,61.817114770098975,9.017391,194.09508,61.080883,0,72.06827700000001,8957.844,4636.283607757423,13666.195884757422,72.13913,8734.278,4581.0664,13387.483,278.7124863199224
3,12,1,1,9.008534625000001,8.53062827309237,11.38031443528081,0.0,0,0,1.0,1.0,20.151,22.445666666666668,11.417,52.25666666666667,14.236333333333333,204.44,199.0632,164.75745,221.81150862224482,146.10284004537755,8.930415284552845,199.1007,58.24572018816232,8.9911,194.09508,58.71919,0,71.44332227642276,8959.5315,4368.429014112175,13399.403836388596,71.9288,8734.278,4403.939,13210.146,189.25735201359566
4,12,1,1,8.930415284552845,8.897938486055777,11.395483654865885,0.0,0,0,1.0,1.0,19.796666666666667,22.038333333333334,11.442333333333332,54.22666666666667,13.916333333333332,195.15333333333334,199.1007,164.77824999999999,221.92715258203046,147.10384463571634,9.26199975609756,199.15608333333333,56.92978539968973,9.118482,194.09508,57.65433,0,74.09599804878049,8962.02375,4269.73390497673,13305.853653025511,72.94785,8734.278,4324.0747,13131.301,174.55287177551145
5,12,1,1,9.26199975609756,8.928201944444446,11.420552005419182,0.0,0,0,1.0,1.0,18.802333333333333,20.332,12.473333333333333,63.48,11.737,173.29666666666665,199.15608333333333,164.79718333333332,221.80783121697297,148.0686163399932,9.529842357723576,199.20151666666666,63.48861329908238,9.409129,194.09508,62.672874,0,76.2387388617886,8964.06825,4761.645997431178,13801.952986292967,75.27303,8734.278,4700.466,13510.018,291.93540816796667
6,12,1,1,9.529842357723576,9.486231322314051,11.452431768787497,0.0,0,0,1.0,1.0,18.119333333333334,19.24233333333333,13.638,71.91333333333333,11.751666666666667,174.67333333333335,199.20151666666666,164.80200000000002,221.9108565311527,148.99894028532665,10.251345643153527,199.23643333333334,65.88309479795693,10.202707,194.09508,64.54902,0,82.01076514522822,8965.6395,4941.23210984677,13988.882374991997,81.62166,8734.278,4841.1763,13657.076,331.8062031169975
7,12,1,1,10.251345643153527,10.89324825,11.443496037230858,0.0,0,0,1.0,1.0,18.252666666666666,19.698,14.402333333333333,73.01333333333334,14.081000000000001,183.06,199.23643333333334,164.81895,221.91155458533214,149.89707230404107,10.678790692640693,199.29433333333333,65.56699282610047,10.720373,194.09508,64.864265,0,85.43032554112554,8968.244999999999,4917.524461957536,13971.19978749866,85.762985,8734.278,4864.82,13684.861,286.33845937365913
8,12,1,1,10.678790692640693,11.696573907563026,11.421518856407255,0.0,0,0,1.0,1.0,19.15,21.442666666666668,13.857666666666667,62.92666666666667,16.346333333333334,177.01,199.29433333333333,164.82580000000002,221.89039620796723,150.76518711742048,11.16912156779661,199.37961666666666,179.17288878875968,11.305023,194.21739,178.26076,0,89.35297254237288,8972.08275,13437.966659156977,22499.40238169935,90.440186,8739.782,13369.557,22199.78,299.62308482435037
9,12,1,1,11.16912156779661,13.383183259911894,11.360451838690542,0.0,0,0,1.0,1.0,20.857333333333333,23.440666666666665,12.984333333333334,53.483333333333334,16.383,160.74333333333334,199.37961666666666,164.92524999999998,221.94202697660927,151.60565917861436,11.917574834710743,199.5125666666667,182.7968989449175,11.859603,194.21739,182.88145,0,95.34059867768595,8978.0655,13709.767420868813,22783.1735195465,94.87682,8739.782,13716.109,22550.77,232.40398829650076
10,12,1,1,11.917574834710743,14.15975153508772,11.271651975281804,0.0,0,0,1.0,1.0,22.830666666666666,25.35,12.312666666666667,46.123333333333335,16.881666666666668,181.61,199.5125666666667,165.06086666666667,221.3642742154354,152.35268448986452,12.028554813278008,195.6801525423729,184.27156539074383,12.192036,194.21739,184.82571,0,96.22843850622407,8805.60686440678,13820.367404305787,22722.202707218792,97.536285,8739.782,13861.929,22699.246,22.956613468792057
11,12,1,1,12.028554813278008,15.41272856521739,11.150228120922998,0.0,0,0,1.0,1.0,24.435666666666666,26.967666666666666,11.739333333333335,40.86333333333334,16.821666666666665,174.43666666666667,195.6801525423729,165.12331666666665,221.53235382982132,153.14439391503345,12.498556060606061,199.85525,210.67261131743,12.527069,194.21739,205.70082,0,99.98844848484849,8993.48625,15800.44584880725,24893.9205472921,100.21655,8739.782,15427.562,24267.56,626.3600004170985
12,12,1,1,12.498556060606061,15.298128325581395,11.020257711615551,0.0,0,0,1.0,1.0,25.775666666666666,28.348,11.230666666666666,37.04,17.091,186.06,199.85525,165.32938333333334,221.8320472652607,153.9158860912897,12.178838502202643,200.20541666666668,203.15648578874712,12.407343,194.21739,204.68985,0,97.43070801762114,9009.243750000001,15236.736434156033,24343.410892173655,99.25874,8739.782,15351.738,24190.78,152.63159529865516
